Experiment,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsensusError
Baseline,1850,-0.00018021675109869406,2.317661259613037,2.3174810428619383,10.0,16130460800.0,0.009261351549941777
Baseline,1900,8.418411254851321e-05,2.316578651199341,2.3166628353118894,10.0,16566419200.0,0.008674855234628364
Baseline,1950,-0.00022054679870597838,2.3185677658843993,2.3183472190856933,10.0,17002377600.0,0.009609006276328168
Baseline,2000,-0.00045378448486355083,2.318052029724121,2.3175982452392576,10.0,17438336000.0,0.008964506433112385
Baseline,2050,-5.2050781250034817e-05,2.3169903213500977,2.3169382705688477,10.0,17874294400.0,0.009198328100828258
Baseline,2100,-3.810478210430901e-05,2.317481869277954,2.3174437644958497,10.0,18310252800.0,0.009230868843055507
Baseline,2150,-0.000343867034912293,2.319252933044434,2.3189090660095215,10.0,18746211200.0,0.009510963287448892
Baseline,2200,0.00023576034545902402,2.317960978088379,2.318196738433838,10.0,19182169600.0,0.009191137851213527
Baseline,2250,0.0002659651947025665,2.317894559173584,2.3181605243682863,10.0,19618128000.0,0.00930132951346494
Baseline,2300,5.936286926289114e-05,2.3197238734436034,2.3197832363128663,10.0,20054086400.0,0.009668317719551423
Baseline,2350,-7.250228881838794e-05,2.3201400437927244,2.320067541503906,10.0,20490044800.0,0.008947280273693615
Baseline,2400,0.00010281768798847679,2.319641293182373,2.3197441108703614,10.0,20926003200.0,0.009228286941213082
Baseline,2450,-0.00019531753540036334,2.320855379943848,2.3206600624084475,10.0,21361961600.0,0.00966515527437235
Baseline,2500,0.00019226814270023596,2.320057928695679,2.320250196838379,10.0,21797920000.0,0.009338116669518592
Baseline,2550,-0.0003931737518310108,2.3222558446502686,2.3218626708984376,10.0,22233878400.0,0.009233095852286599
Baseline,2600,0.00036586517334002977,2.321076345977783,2.321442211151123,10.0,22669836800.0,0.009413940561258837
Baseline,2650,0.0005200171661376984,2.3195657383728028,2.3200857555389405,10.0,23105795200.0,0.009656262784357827
Baseline,2700,-5.7425842284963835e-05,2.3185757875061035,2.3185183616638185,10.0,23541753600.0,0.009086007463878786
Baseline,2750,8.300094604507535e-05,2.3203452110290526,2.3204282119750976,10.0,23977712000.0,0.009226751152233236
Baseline,2800,-0.0001704254913330594,2.322620779876709,2.322450354385376,10.0,24413670400.0,0.009241678715824786
